class,tweet
0,"['rt', 'woman', 'complain', 'cleaning', 'house', 'man', 'always', 'take', 'trash']"
1,"['rt', 'boy', 'dats', 'cold', 'tyga', 'dwn', 'bad', 'cuffin', 'dat', 'hoe', '1st', 'place']"
1,"['rt', 'dawg', 'rt', 'ever', 'fuck', 'bitch', 'start', 'cry', 'confused', 'shit']"
1,"['rt', 'look', 'like', 'tranny']"
1,"['rt', 'shit', 'hear', 'might', 'true', 'might', 'faker', 'bitch', 'told', 'ya', '\ue011']"
1,"['shit', 'blows', 'claim', 'faithful', 'somebody', 'still', 'fucking', 'hoes', '_Ù÷â', '_Ù÷â', '_Ù÷â']"
1,"['sit', 'hate', 'another', 'bitch', 'got', 'much', 'shit', 'going']"
1,"['cause', ""i'm"", 'tired', 'big', 'bitches', 'coming', 'us', 'skinny', 'girls']"
1,"['might', 'get', 'ya', 'bitch', 'back', 'thats']"
1,"['hobbies', 'include', 'fighting', 'mariam', 'bitch']"
1,"['keeks', 'bitch', 'curves', 'everyone', 'lol', 'walked', 'conversation', 'like', 'smh']"
1,"['murda', 'gang', 'bitch', 'gang', 'land']"
1,"['hoes', 'smoke', 'losers', 'yea', 'go', 'ig']"
1,"['bad', 'bitches', 'thing', 'like']"
1,"['bitch', 'get']"
1,"['bitch', 'nigga', 'miss']"
1,"['bitch', 'plz', 'whatever']"
1,"['bitch', 'love']"
1,"['bitches', 'get', 'cut', 'everyday', 'b']"
1,"['black', 'bottle', 'bad', 'bitch']"
1,"['broke', 'bitch', 'cant', 'tell', 'nothing']"
1,"['cancel', 'bitch', 'like', 'nino']"
1,"['cant', 'see', 'hoes', 'wont', 'change']"
1,"['fuck', 'bitch', 'dont', 'even', 'suck', 'dick', '_Ù÷â', '_Ù÷â', '_Ù÷â', 'kermit', 'videos', 'bout', 'fuck', 'ig']"
1,"['got', 'ya', 'bitch', 'tip', 'toeing', 'hardwood', 'floors', '_Ù÷â']"
1,"['pussy', 'lips', 'like', 'heaven', 'doors', '_Ù÷Î']"
1,"['hoe', 'hitting']"
1,"['met', 'pussy', 'ocean', 'dr', 'gave', 'pussy', 'pill', '_Ù÷Î']"
1,"['need', 'trippy', 'bitch', 'fuck', 'hennessy']"
1,"['spend', 'money', 'want', 'bitch', 'business']"
1,"['txt', 'old', 'bitch', 'new', 'bitch', 'pussy', 'wetter']"
1,"[""i'd"", 'say', 'im', 'back', 'old', 'old', 'bitches', 'would', 'get', 'excited', '_Ù÷Î']"
1,"['aint', 'bout', 'murder', 'game', 'pussy', 'nigga', 'shut']"
1,"['toes', ""ain't"", 'done', 'pussy', 'stinks']"
1,"['im', 'done', 'bitter', 'bitches', 'wrap', 'angry', 'bird', 'theres', 'app']"
1,"['ya', 'bitch']"
1,"['aint', 'nothing', 'cut', 'bitch']"
1,"['jus', 'meet', 'son', 'ya', 'mane', 'ass', 'bitches', '#shots']"
1,"['lames', 'crying', 'hoes', 'thats', 'tears', 'clown']"
1,"['like', 'snoop', 'said', '94', 'dont', 'love', 'hoes']"
0,"['momma', 'said', 'pussy', 'cats', 'inside', 'doghouse']"
1,"['hated', 'hoes', 'favorite', '#2mw', '#sevenone']"
1,"['nice', 'girls', 'bad', 'make', 'get', 'naughty', 'bad', 'yello', 'hoe', 'real', 'nice', 'body', 'south', 'chick', 'like', 'em', 'real', 'thick']"
1,"['pimps', 'pimps', 'hoes', 'future', 'voice']"
1,"['post', 'picture', 'pussy', 'get', '200', 'likes']"
1,"['pussy', 'powerful', 'drug', '_Ù÷É', '#happyhumpday']"
1,"['quick', 'piece', 'pussy', 'call', 'drive']"
1,"['running', 'round', 'like', 'brand', 'new', 'pussy', 'thats', 'bout', 'get', 'fucked']"
1,"['bitches', 'even', 'worst', ""they'll"", 'send', 'guys']"
1,"['hoes', 'like', 'niggas', 'spend', 'money', 'talk', 'bout']"
1,"['dont', 'trust', 'niggas', 'bitches']"
1,"['yall', 'niggas', 'b', 'cuffing', 'hoes', 'cause', 'yall', 'aint', 'never', 'bitches']"
1,"['dodge', 'bullet', '_Ù÷É', 'da', 'bitches', 'cut', 'pregnant', 'bound', 'thank', 'god', '_Ùªè']"
1,"['young', 'pill', 'chamberlain', 'bitches', 'love', 'music']"
1,"['_Ù÷â', '_Ù÷â', '_Ù÷â', 'teanna', 'trump', 'probably', 'cleaner', 'twitter', 'hoes']"
1,"['_Ù÷â', '_Ù÷â', '_Ù÷â', 'gay', 'niggas', 'wait', 'act', 'like', 'bitches', 'tonight']"
1,"['_Ù÷â', '_Ù÷â', '_Ù÷â', 'ima', 'steal', 'cat', 'n', 'replace', 'pitbull', '_Ù÷â', '_Ù÷â', '_Ù÷â', 'rt', 'bitch']"
1,"[""he's"", 'gone', 'always', 'hoe']"
1,"['son', 'bitch', 'took', 'tic', 'tacs', 'like', 'movie']"
1,"['wanna', 'get', 'money', 'fuck', 'model', 'bitches', 'russell', 'simmons']"
1,"['probably', 'mind', 'school', 'much', 'deal', 'bitch', 'ass', 'teachers', 'retweet']"
1,"[""i'm"", 'fucking', 'fag', 'said']"
1,"['females', 'think', 'dating', 'pussy', 'cute', 'stuff', 'make', 'pussy']"
0,"['simplyaddictedtoguys', 'woof', 'woof', 'hot', 'scally', 'lad']"
1,"['ya', 'ever', 'asked', 'bitch', 'bitches', 'kanye', 'voice', 'yes']"
1,"['u', 'gone', 'bring', 'ur', 'side', 'bitch', 'game', 'know', 'ya', 'gf', 'friends', '_Ù÷©', '_Ù÷©', '_Ù÷©', 'swear']"
0,"['woof', 'woof', 'hot', 'soles']"
0,"['lemmie', 'eat', 'oreo', 'dishes', 'one', 'oreo', 'lol']"
1,"['bitch', 'fuck', 'u', 'maybe', 'get', 'better']"
1,"['fuck', 'red', 'malone', 'man', 'bitch', 'ass', 'niggah', 'could', 'please', 'use', 'complete', 'sentences']"
0,"['eggplant', 'emoji', 'doe', 'say', 'looked', 'like', 'scream', 'lmao']"
1,"['hennessey', 'venom', 'gt', '_Ùªö', ""that's"", 'one', 'sexy', 'bitch']"
1,"['seh', 'pussy', 'wetter', 'shower', 'curtain', '#ahmesehwetness', 'lmao']"
1,"['#eaglesnation', 'every', '#eagles', 'need', 'see', 'pic', 'posted', 'bitch', 'said', 'racist', 'shit']"
1,"['yo', 'fuck', 'skateboarding', ""y'all"", 'wood', 'pushing', 'faggots', 'man', 'ball', 'life']"
0,"['baby', 'monkey', 'bathtime', 'awwwe', 'sooo', 'adorable']"
1,"['_Ù÷â', '_Ù÷â', '_Ù÷â', ""ain't"", 'shit', 'damn', 'skippy', 'lol']"
1,"['u', 'ever', 'kill', 'ant', 'sidewalk', 'think', 'damn', 'nigga', 'way', 'get', 'pussy', 'bs', 'must', 'b', '30', 'chance']"
1,"['0', 'rings', '0', 'mvps', '0', 'bitches', 'lol']"
1,"['ppl', 'talk', 'bad', 'ghetto', 'hood', 'kid', 'growing', 'nigga', 'funnn']"
1,"['facts', 'tattoos', 'tattoo', ""he's"", 'pussy', 'tattooing', 'nipples']"
1,"['_ÙÕø', '_ÙÕø', '_ÙÕø', 'rt', 'bitches', 'wanting', 'act', 'like', 'niggas', 'bad', '_Ù÷©', '_Ù÷©', '_Ù÷©', 'shit', 'aint', 'cuteee', 'niggas', 'act', 'like', 'bitches']"
1,"['get', 'worshiping', 'bitch', 'woof', 'woof']"
1,"['wow', 'rt', ""i'm"", 'lost', 'buttcheek', 'piercings', 'yeah', 'hoe']"
1,"['ok', 'sis', ""she'd"", 'rather', 'broke', 'bitch', 'shrugs', ""she'll"", 'tell', 'works']"
1,"['faggot', 'read', 'tweets', 'dat', 'k', 'even', 'funny', 'lol']"
1,"['bitch', 'ungrateful', 'fr', 'lulwhore']"
1,"['kidnapped', 'yo', 'bitch']"
1,"['happy', 'birthday', 'nigs', 'thanks', 'yo']"
1,"['ur', 'teacher', 'tells', 'u', 'u', 'homework', 'bitch', 'need', 'go']"
1,"['nigga', 'eating', 'hoe', 'lol', 'hell', 'yea', 'lol', 'john', 'paul', 'nigga', 'said', 'john', 'paul']"
1,"['would', ""y'all"", 'lil', 'ugly', 'bald', 'headed', 'bitches', 'stop', 'making', 'make-up', 'weave']"
1,"['leafs', 'better', 'win', 'damn', 'game', 'go', 'riot', 'shit', '#earlychristmas', 'better', 'start', 'looting', 'nig']"
1,"['going', 'back', 'school', 'sucks', 'dick', 'hoes', 'attend']"
1,"['way', 'fuck', 'yo', 'bitch', '9', 'year', 'old']"
1,"['come', 'never', 'bring', 'food', 'dont', 'car', 'retard']"
1,"['richnow', 'show', 'hella', 'tinder', 'hoes', 'im', 'friend', 'anymore', 'chill', 'brought', 'like', 'like', '8', 'prople']"
1,"['bout', 'cowboys', 'shutup', 'pussy']"
1,"['lmaooo', 'nigga', 'bitch', 'want', 'likes', 'depressing', 'shit', 'foh']"
1,"['girl', 'know', 'spitting', 'g', 'shit', 'going', 'lbvs', 'bitch', 'plz']"
1,"['let', 'make', 'couple', 'tweets', 'cuzzo', 'page', 'get', 'twitter', 'jail', 'lmao', 'bitch', 'trick']"
1,"['harlem', 'shake', 'excuse', 'go', 'full', 'retard', '30', 'seconds']"
1,"['amen', 'miley', '_Ùªè', 'need', 'act', 'like', 'hoe', 'bc', 'emotionally', 'damaged', 'foh']"
1,"['one', 'loyal', 'female', 'wayyy', 'better', 'hoes', 'idc', '_ÙÕø']"
1,"['pussy', 'licking', 'pussy', 'meow', 'meow', '#stopwhitepeople2014', '_Ùê±', '_Ù÷¥']"
1,"['check', '12th', 'man', '#cowboysnation', 'even', 'faggot', 'ny', 'fans', 'stands']"
1,"['happen', 'vixen', 'ent', 'bitches', 'got', 'ran', 'threw', 'side', 'like', 'foothill', 'bitch']"
1,"['im', 'bitch', 'okay', 'nudes', 'pat', '_Ù÷»', '_Ù÷è', '_Ùêü', 'wow']"
1,"['fuck', 'wrong', 'bitches', 'nobody', 'knows']"
1,"['yall', 'shut', ':p', 'make', 'bitch']"
1,"['hate', ""i'm"", 'pregnant', 'type', 'bitch']"
1,"['got', 'bitches', 'dm', 'ever', ""read'em"", 'top', '3']"
0,"['baseball', 'season', 'win', '#yankees', 'love', 'started']"
1,"['little', 'stupid', 'bitch', 'fuck', 'yooouuu']"
1,"['really', 'asked', 'dead', 'ass', 'serious', 'tho', 'could', 'say', 'bitch', 'wheet', 'lol']"
0,"[""i'm"", 'early', 'bird', ""i'm"", 'night', 'owl', ""i'm"", 'wise', 'worms']"
0,"['overdosing', 'heavy', 'drugs', 'sound', 'bad', 'tonight', 'pussy', 'shit', 'every', 'day']"
0,"['pit', 'bulls', 'photographed', 'lovely', 'fairy', 'tale', 'creatures', 'fairy', 'tale', 'creatures']"
1,"['aw', 'fag', 'tweet', 'aw', 'lol']"
0,"['long', 'lakers', 'trash', 'could', 'careless', ""that's"", 'real', 'cc', 'hahaha']"
1,"['say', 'anything', 'tho', 'kiss', 'faggot']"
0,"['play', 'soccer', 'cheat', 'girls', 'wear', 'khaki', 'coloured', 'cargos', 'haircut', '_Ù÷â', 'yup']"
1,"['could', 'go', 'fat', 'ass', 'bitch', 'lap']"
1,"['17', 'missed', 'calls', '_Ù÷Ê', '_Ù÷Á', 'das', 'yo', 'p', 'bitch', 'twitter', 'finna', 'screamn', '#freemoneymelle']"
1,"['ya', 'side', 'bitch', 'gotta', 'know', 'rules', 'shit', 'anybody', 'ask', 'cousin', 'jersey', 'thinkin', 'bout', 'moving', 'lmmfao', '_Ù÷â', '_Ù÷â', '_Ù÷â']"
1,"['3', '|', 'amo', 'los', 'pies', 'fuck', 'yeah']"
1,"['hoes', 'thinking', 'meat', 'slap', 'ass', '_Ù÷«', '_ÙÔÜ', 'ainna', 'bruh']"
1,"['yall', 'bitches', 'wit', 'edges', 'talking', '_Ù÷©', '_Ù÷«', '‰ÏÜ', '_Ù÷â', '_Ù÷â', '_Ù÷â']"
1,"['yall', 'still', 'going', 'trick', 'treating', 'year', 'nah', 'hell', 'yeah', 'ima', 'da', 'sweet', 'tooth', 'bandit', 'steal', 'bitches', 'bags', 'n', 'shit']"
1,"['wanna', 'sex', 'mom', 'fuck', 'right', 'pussy', 'came', 'damn', 'got', 'hacked', 'like', 'fuck']"
1,"['kiss', 'u', 'eyes', 'open', 'watch', 'bitch', 'lmfao']"
1,"['woulda', 'coulda', 'shoulda', 'ass', 'hoe', '_Ù÷_', '_Ùª_']"
1,"['happy', 'bday', 'bitch', 'ass', 'nigga', 'preciate', 'bitch', 'roll']"
1,"['used', 'send', 'bitch']"
1,"['ugly', 'bitches', 'like', ""i'm"", 'wcw', 'duh', 'bitch', ""ain't"", 'nobody', 'elses', '_Ù÷â', '_Ù÷â']"
1,"['nigga', 'know', 'hacky', 'sack', 'hoes', 'nah', 'throw', 'look', 'passes', 'lmao']"
1,"['glad', ""i'm"", 'getting', 'outta', 'atlanta', 'nothing', 'bunch', 'niggas', 'outta', 'jail', 'dumb', 'bitches', 'mad', 'kids', 'fuckin', 'em']"
0,"['ghetto', 'smart', ""i'm"", 'idc']"
1,"['would', 'wife', 'hoe', 'cuz', 'care', 'cheating', 'force', 'relationship', 'first', 'place']"
1,"['single', 'excuse', 'hoe']"
1,"['white', 'boy', 'power', 'bitch', 'black', 'power', 'bitch']"
1,"['lets', 'get', 'drunk', 'get', 'blowed', 'spit', 'shit', 'spark', 'blunts', 'fuck', 'hoes', 'bro', 'white', 'dudes', 'chill']"
1,"['bitch', 'u', 'around', 'world', 'back']"
1,"['get', 'dick', 'sucked', 'yo', 'party', 'bad', 'bitch', ""i'm"", 'fr', 'gone', 'set', '_Ù÷â', '_Ù÷â', '_Ù÷â']"
1,"['#oomf', 'sooo', 'cute', 'probably', 'hoes', 'lot']"
1,"['every', 'cartoon', 'alway', 'saving', 'hoes', 'lmao', 'lmao', 'damn', 'captain', 'saveahoe']"
0,"['wants', 'get', 'nose', 'bad', 'bois', '#scally', '#chav', '#sockfetish', '#stinking', 'hot', 'sox', 'legs']"
1,"['wish', 'bitch', 'like', 'brother', 'keezy', '_Ù÷Õ', 'ooow', 'bet']"
1,"['dressed', 'cat', 'halloween', 'basic', 'pussy']"
1,"['pornhub', 'get', 'gaming', 'stream', 'feature', 'dumb', 'bitches', 'gtfo', 'get', 'katie', '<3']"
1,"['stop', 'scared', 'choke', 'sex', 'u', 'bitch', 'ass', 'niggas', 'like', 'says', 'guy', 'hits', 'women', 'bed', 'foh']"
1,"['ha', 'well', 'iguess', 'make', 'hoes', 'loyal', 'bro', 'theyll', 'never', 'loyal', 'hoes', 'nig']"
1,"['oh', 'man', '5', 'molly', 'ho', 'fuck', 'ya', 'seed', '#fixed']"
1,"['man', 'refer', 'every', 'girl', 'bitch']"
1,"['lmfao', 'cat', 'started', 'beating', 'shit', 'nigga', 'finally', 'got', 'pussy', 'nigga']"
0,"['peel', 'peel', 'bring', 'back', 'rewind', 'back', ""i'm"", 'move', 'shaq', 'line', 'ooow', 'tf', 'said', 'trash']"
1,"['io', 'io', 'alu', 'record', 'ho', 'vine', 'sai', 'pe', 'hahahaha', 'lol', 'anywaaays', 'haha']"
