class,tweet
0,"['rt', 'woman', 'complain', 'cleaning', 'house', 'man', 'always', 'take', 'trash']"
0,"['momma', 'said', 'pussy', 'cats', 'inside', 'doghouse']"
0,"['simplyaddictedtoguys', 'woof', 'woof', 'hot', 'scally', 'lad']"
0,"['woof', 'woof', 'hot', 'soles']"
0,"['lemmie', 'eat', 'oreo', 'dishes', 'one', 'oreo', 'lol']"
0,"['eggplant', 'emoji', 'doe', 'say', 'looked', 'like', 'scream', 'lmao']"
0,"['baby', 'monkey', 'bathtime', 'awwwe', 'sooo', 'adorable']"
1,"['queer', 'gaywad']"
1,"['alsarabsss', 'hes', 'beaner', 'smh', 'tell', 'hes', 'mexican']"
1,"['fucking', 'gay', 'blacklisted', 'hoe', 'holding', '#tehgodclan', 'anyway']"
0,"['baseball', 'season', 'win', '#yankees', 'love', 'started']"
0,"[""i'm"", 'early', 'bird', ""i'm"", 'night', 'owl', ""i'm"", 'wise', 'worms']"
0,"['overdosing', 'heavy', 'drugs', 'sound', 'bad', 'tonight', 'pussy', 'shit', 'every', 'day']"
0,"['pit', 'bulls', 'photographed', 'lovely', 'fairy', 'tale', 'creatures', 'fairy', 'tale', 'creatures']"
0,"['long', 'lakers', 'trash', 'could', 'careless', ""that's"", 'real', 'cc', 'hahaha']"
0,"['play', 'soccer', 'cheat', 'girls', 'wear', 'khaki', 'coloured', 'cargos', 'haircut', '_Ÿ˜‚', 'yup']"
0,"['ghetto', 'smart', ""i'm"", 'idc']"
0,"['wants', 'get', 'nose', 'bad', 'bois', '#scally', '#chav', '#sockfetish', '#stinking', 'hot', 'sox', 'legs']"
0,"['peel', 'peel', 'bring', 'back', 'rewind', 'back', ""i'm"", 'move', 'shaq', 'line', 'ooow', 'tf', 'said', 'trash']"
0,"['#ucfpinkparty', 'come', 'stay', 'alive', 'knights', 'nation', 'still', 'early', 'bird', 'special', '#comeatmeut']"
0,"['stay', 'tuned', 'update', 'report', '1b', '8-10', 'weeks', '#bum']"
0,"['play', 'soccer', 'cheat', 'girls', 'wear', 'khaki', 'coloured', 'cargos', 'haircut', 'yes', 'lmfao']"
1,"['lmfaooo', 'hate', 'black', 'people', ""there's"", 'black', 'people', 'niggers']"
0,"['pissed', 'lad', 'past', 'would', 'lick', 'dirty', 'soles', 'slept']"
0,"['love', 'frat', 'boy', 'w', 'soft', 'long', 'soles']"
0,"['sexy', 'lad', 'hot', 'soles', 'arches']"
0,"['_Ÿ‘è', '_Ÿ‘è', '_Ÿ‘è', '_Ÿ™Œ', 'got', 'hicks', 'lol']"
0,"['10', 'birds', 'grandkids', 'may', 'never', 'see', 'thanks', 'climate', 'change', '#climate']"
1,"['least', ""i'm"", 'nigger', 'lmfao']"
1,"['ariza', 'snake', 'coward', 'least', 'cripple', 'like', 'hero', 'roach', 'lmaoo']"
0,"['fosters', 'home', 'imaginary', 'trash', 'whoa', 'chill', 'show', 'everything', 'tf']"
0,"['61', 'welfare', 'government', 'aid', 'claimed', 'white', 'people', ""y'all"", 'black', 'slander', 'trash']"
1,"['drakes', 'new', 'shoes', 'released', 'nike', 'jordan', 'yes', ""there's"", 'glitter', 'shoes', 'dudes', 'fag']"
0,"['inna', 'di', 'ghetto', 'alone', 'lmaoo']"
0,"['hoes', 'austin', 'teach', 'us', 'austin', 'teach', 'u', 'get', 'curved', ""that's"", 'know']"
0,"['eli', 'manning', 'threw', 'nfl-leading', '27th', 'interception', 'season', 'lmao', 'trash']"
0,"['usc', 'senior', 'rb', 'anthony', 'brown', 'calls', 'head', 'coach', 'steve', 'sarkisian', 'racist', 'quits', 'team', 'Â»', ""he's"", 'bitch']"
0,"['chilling', '_Ÿ‘…', 'â„¢', 'sexy', 'scally', 'lad']"
0,"['tuku', 'ho', 'idk', 'blah', 'blah', 'blah', '_Ÿ˜‚', '_Ÿ˜‚', '_Ÿ˜‚']"
0,"[""i'm"", 'mad', 'cuh', 'hahaha', 'suure', 'tuku', 'ho', 'ita', '_Ÿ˜‚', '_Ÿ˜‚']"
0,"['scally', 'lad', 'would', 'get']"
1,"['#gerryshalloweenparty', 'halloween', 'yesterday', 'stupid', 'nigger']"
0,"['15', 'sad', 'tv', 'character', 'deaths', ""we're"", 'still', 'bitter', 'stark', 'man']"
0,"['smuggler', 'explains', 'helped', 'fighters', 'along', 'jihadi', 'highway']"
0,"['6-1', '#yankees', 'look', 'rally', 'bottom', '9th', '#rallycap']"
1,"['bored', 'supposed', 'cute', 'faggot', 'sometimes']"
0,"['one', 'mans', 'trash', '_Ÿ_®', 'another', 'mans', 'treasure', '_Ÿè†']"
1,"['lassen', 'cc', 'coach', 'wants', 'feel', 'youll', 'get', 'nig', 'doubt']"
0,"['ashley', 'young', 'tried', 'deny', 'bird', 'landed', 'mouth', '--->', 'hahaha']"
0,"['take', 'ride', '_Ÿ˜ç', '_Ÿ’‹', 'woof', 'woof']"
0,"['sitting', 'window', 'sill', 'window', 'open', 'bird', 'tries', 'fly', 'smacked', '#protecttheanimals']"
0,"['video', 'entire', 'media', 'likely', 'mock', 'crybaby']"
0,"['jihadi', 'patron', 'hajjaj', 'al-ajmi', 'arrested', 'kuwait', 'airport']"
0,"['tweety', 'bird', 'tho', '_Ÿ˜‚', '_Ÿ˜‚', '_Ÿ˜‚']"
0,"['twitter', 'rappers', 'dm', 'trash', 'links']"
1,"['jackies', 'retard', '#blondeproblems', 'least', 'make', 'grilled', 'cheese']"
0,"['photo', 'sole', 'heaven']"
1,"['stacey', 'dash', '_Ÿ’_', 'baddest', 'bitch', 'evaaa']"
0,"['actin', 'like', '7th', 'day', '_Ÿ‘»', 'spook']"
0,"['colored', 'contacts', 'eyes', 'blinders', 'mine', 'cause', ""can't"", 'see', 'lmao']"
0,"['swears', ""i'm"", '1', 'man', 'easily', 'easily', 'behind', 'austin', 'nip']"
0,"['h.g.wells', 'charlie', 'chaplin', '#history', '#photography']"
0,"['told', 'mariam', 'cigarettes', 'birthday', 'also', 'called', 'trash', 'rn']"
0,"['brownies', 'tonight', 'kind']"
0,"['fit', 'lads', 'nice', 'gear', 'scally', 'lads', 'n', 'trainers', 'would', 'get']"
0,"['saw', 'ajumma', 'walk', 'beginning', 'saying', 'wow', 'trash', ""can't"", 'even', 'listen', '_Ÿ˜‚', 'lmaoo']"
0,"['dude', 'remember', 'wop', 'video', 'omg', 'find']"
0,"['rawr', 'rt', 'sexy', 'french', 'scally', 'love', '#frenchscally', 'sexy', 'scally', 'woof', 'woof']"
0,"['baby', 'albino', '_Ÿê¢']"
0,"['bae', 'sounds', 'like', 'ghetto', 'word', 'use', 'something', 'else']"
0,"['brownies', 'brownie', 'love', 'movie', '_Ÿ˜…']"
0,"['chinese', 'maverick', 'communicating', 'comrade', 'u', 'know', 'giving', 'imperialist', 'yanks', 'birdie']"
